#timestamp x y z qx qy qz qw id
184.568382 -0.061775 -0.000070 0.000598 -0.006929 0.788189 -0.615381 -0.004095 1
201.816386 -0.067283 -0.213450 -0.002933 -0.007206 0.788589 -0.614870 -0.003263 13
203.785430 -0.080656 -1.168557 -0.008463 -0.010477 0.790305 -0.612616 -0.003147 14
205.420766 -0.114658 -1.989370 -0.027912 -0.010258 0.790816 -0.611966 0.001629 15
207.256279 -0.130116 -2.805790 -0.030383 -0.012242 0.790184 -0.612744 0.002170 16
209.258684 -0.131001 -3.703583 -0.016682 -0.016163 0.787092 -0.616624 0.000054 17
210.326617 -0.149558 -4.220355 -0.012127 -0.015758 0.784207 -0.620298 0.001140 18
211.594819 -0.165193 -4.780549 -0.005787 -0.015610 0.782833 -0.622035 0.001135 19
213.163349 -0.190120 -5.530339 -0.016763 -0.013687 0.785359 -0.618885 0.002309 20
214.431679 -0.204453 -6.112818 -0.022841 -0.013790 0.788504 -0.614873 0.001323 21
215.432887 -0.216215 -6.583344 -0.024429 -0.014258 0.789556 -0.613512 0.001367 22
216.767788 -0.231497 -7.229655 -0.033257 -0.013472 0.791393 -0.611158 0.001463 23
218.970359 -0.241234 -8.295501 -0.035135 -0.015891 0.788841 -0.614390 0.001358 24
220.638995 -0.254581 -9.062067 -0.042490 -0.016484 0.788452 -0.614873 0.001475 25
221.706935 -0.270810 -9.550198 -0.048484 -0.016072 0.788120 -0.615304 0.002918 26
223.008456 -0.278322 -10.167613 -0.057128 -0.015817 0.788930 -0.614271 0.003170 27
224.743832 -0.275664 -10.982281 -0.066151 -0.018363 0.789572 -0.613383 0.000933 28
226.078735 -0.300964 -11.612873 -0.075095 -0.016066 0.789606 -0.613397 0.002956 29
227.880854 -0.333392 -12.443773 -0.086127 -0.013997 0.789302 -0.613841 0.002291 30
229.416036 -0.352811 -13.174055 -0.095820 -0.012205 0.790613 -0.612195 -0.000071 31
232.519861 -0.405896 -14.602548 -0.115390 -0.011612 0.790292 -0.612607 0.004138 32
233.521067 -0.417724 -15.066356 -0.116725 -0.012004 0.790387 -0.612473 0.004568 33
234.722517 -0.428732 -15.642903 -0.122898 -0.012912 0.789701 -0.613331 0.005563 34
236.224334 -0.439878 -16.334782 -0.131963 -0.013348 0.789809 -0.613150 0.008386 35
237.325657 -0.438600 -16.843094 -0.135731 -0.015565 0.789437 -0.613562 0.009387 36
238.760713 -0.430412 -17.520493 -0.144880 -0.018200 0.790219 -0.612479 0.009589 37
239.761915 -0.436893 -17.987568 -0.147650 -0.018009 0.789484 -0.613395 0.011695 38
240.863256 -0.432402 -18.484573 -0.150443 -0.019743 0.788840 -0.614154 0.012484 39
241.864495 -0.427294 -18.960552 -0.154542 -0.021289 0.789014 -0.613881 0.012437 40
243.166316 -0.418294 -19.566986 -0.159765 -0.023078 0.788798 -0.614109 0.011634 41
244.434524 -0.411353 -20.141224 -0.161835 -0.024334 0.788082 -0.614963 0.012458 42
